frequency_hz,afe_av_port_real,afe_av_port_imag,afe_av_port_magnitude_db,afe_av_port_phase_deg_unwrapped,afe_av_port_group_delay_s,channel_output_symbol_spectrum_real,channel_output_symbol_spectrum_imag,channel_output_symbol_spectrum_db_relative_to_tx_dc,afe_output_symbol_spectrum_real,afe_output_symbol_spectrum_imag,afe_output_symbol_spectrum_db_relative_to_tx_dc
0.0,1.9952623149688795,0.0,6.0,0.0,-3.2184339037920586e-11,0.9772372209558073,0.0,-0.2000000000000297,1.9498445997580385,0.0,5.79999999999997
27343750.0,1.995263744182441,0.011032838853947364,6.000139007521069,0.3168145874045308,-3.21833574111939e-11,0.9055479631058537,-0.16336908574241227,-0.7226706946510162,1.8086094442000813,-0.31597364895060054,5.2774683128700515
54687500.0,1.9952680319920126,0.02206572673559144,6.000556006512321,0.6336098490328799,-3.2180412873921814e-11,0.8619925715307328,-0.24579016554322988,-0.9504438876643482,1.7253297604170321,-0.47139676735492436,5.050112118847974
82031250.0,1.9952751789042487,0.03309871267060208,6.001250926271836,0.9503664658598666,-3.21755064545219e-11,0.8073018881037386,-0.34528125382613417,-1.1297069865636298,1.6222177842268615,-0.6622104622674428,4.871543939708208
109375000.0,1.9952851857635532,0.04413184568059559,6.00222364900959,1.2670651323562798,-3.2168639866002254e-11,0.7536554976149925,-0.41961061701391167,-1.28386392698008,1.5222758405564507,-0.8039826397998846,4.718359722029511
136718750.0,1.9952980537520455,0.05516517478110801,6.0034740099171335,1.5836865632217858,-3.215981550443202e-11,0.6887112094348763,-0.49644300608949843,-1.421980026357679,1.401570500982412,-0.9525588896070077,4.5814939835594535
164062500.0,1.9953137843895188,0.06619874897956904,6.005001797265038,1.9002115000997852,-3.2149036446803203e-11,0.624583861278502,-0.5567277477431145,-1.548704531404831,1.2830954683390334,-1.0694998789745018,4.456297265860209
191406250.0,1.9953323795333786,0.07723261727327584,6.0068067525279805,2.216620718268224,-3.21363064482877e-11,0.5509364958926207,-0.6146057589994666,-1.6667993079412762,1.1467690406799613,-1.1837925040501693,4.3400074445867025
218750000.0,1.995353841378575,0.08826682864736758,6.008888570537271,2.5328950333004494,-3.212162993889468e-11,0.4788203075558192,-0.6593710289921255,-1.7780638643554012,1.0136165296426611,-1.273414565553272,4.2308247061818705
246093750.0,1.9953781724575206,0.09930143207280064,6.011246899660717,2.849015307690213,-3.2105012019532735e-11,0.3992377122199322,-0.6990594577531374,-1.8837481434619558,0.8660478218444517,-1.3552431066896926,4.127498756198761
