frequency_hz,vga_av_port_real,vga_av_port_imag,vga_av_port_magnitude_db,vga_av_port_phase_deg,vga_av_port_group_delay_s
0.0,0.21654147324079923,0.0,-13.289178256450265,0.0,-0.0
27343750.0,0.21654147324079923,0.0,-13.289178256450265,0.0,-0.0
54687500.0,0.21654147324079923,0.0,-13.289178256450265,0.0,-0.0
82031250.0,0.21654147324079923,0.0,-13.289178256450265,0.0,-0.0
109375000.0,0.21654147324079923,0.0,-13.289178256450265,0.0,-0.0
136718750.0,0.21654147324079923,0.0,-13.289178256450265,0.0,-0.0
164062500.0,0.21654147324079923,0.0,-13.289178256450265,0.0,-0.0
191406250.0,0.21654147324079923,0.0,-13.289178256450265,0.0,-0.0
218750000.0,0.21654147324079923,0.0,-13.289178256450265,0.0,-0.0
246093750.0,0.21654147324079923,0.0,-13.289178256450265,0.0,-0.0
273437500.0,0.21654147324079923,0.0,-13.289178256450265,0.0,-0.0
300781250.0,0.21654147324079923,0.0,-13.289178256450265,0.0,-0.0
328125000.0,0.21654147324079923,0.0,-13.289178256450265,0.0,-0.0
355468750.0,0.21654147324079923,0.0,-13.289178256450265,0.0,-0.0
382812500.0,0.21654147324079923,0.0,-13.289178256450265,0.0,-0.0
410156250.0,0.21654147324079923,0.0,-13.289178256450265,0.0,-0.0
437500000.0,0.21654147324079923,0.0,-13.289178256450265,0.0,-0.0
464843750.0,0.21654147324079923,0.0,-13.289178256450265,0.0,-0.0
492187500.0,0.21654147324079923,0.0,-13.289178256450265,0.0,-0.0
519531250.0,0.21654147324079923,0.0,-13.289178256450265,0.0,-0.0
546875000.0,0.21654147324079923,0.0,-13.289178256450265,0.0,-0.0
574218750.0,0.21654147324079923,0.0,-13.289178256450265,0.0,-0.0
601562500.0,0.21654147324079923,0.0,-13.289178256450265,0.0,-0.0
628906250.0,0.21654147324079923,0.0,-13.289178256450265,0.0,-0.0
656250000.0,0.21654147324079923,0.0,-13.289178256450265,0.0,-0.0
683593750.0,0.21654147324079923,0.0,-13.289178256450265,0.0,-0.0
710937500.0,0.21654147324079923,0.0,-13.289178256450265,0.0,-0.0
738281250.0,0.21654147324079923,0.0,-13.289178256450265,0.0,-0.0
765625000.0,0.21654147324079923,0.0,-13.289178256450265,0.0,-0.0
792968750.0,0.21654147324079923,0.0,-13.289178256450265,0.0,-0.0
820312500.0,0.21654147324079923,0.0,-13.289178256450265,0.0,-0.0
847656250.0,0.21654147324079923,0.0,-13.289178256450265,0.0,-0.0
875000000.0,0.21654147324079923,0.0,-13.289178256450265,0.0,-0.0
902343750.0,0.21654147324079923,0.0,-13.289178256450265,0.0,-0.0
