frequency_hz,channel_sdd21_real,channel_sdd21_imag,channel_sdd21_db,afe_av_port_real,afe_av_port_imag,afe_av_port_db,channel_afe_real,channel_afe_imag,channel_afe_db,tx_pulse_real,tx_pulse_imag,tx_pulse_db,signal_path_real,signal_path_imag,signal_path_db,signal_path_group_delay_s
0.0,0.9772372209558073,0.0,-0.2000000000000297,1.9952623149688795,0.0,6.0,1.9498445997580385,0.0,5.79999999999997,1.0,0.0,0.0,1.9498445997580385,0.0,5.79999999999997,9.9778748272589e-10
27343750.0,0.9057979905722212,-0.16197988815502956,-0.7226660156250214,1.995263744182441,0.011032838853947364,6.000139007521069,1.8090929881456563,-0.31319907485824466,5.2774729918960475,0.9999998534901091,0.0,-1.2725688363421665e-06,1.80909272309564,-0.3131990289714824,5.2774717193272105,7.672725310206782e-10
54687500.0,0.8627444474453149,-0.24314497678974706,-0.9504251715571612,1.9952680319920126,0.02206572673559144,6.000556006512321,1.726771586381224,-0.46610231610804503,5.050130834955162,0.9999994139605654,0.0,-5.0902753444478125e-06,1.7267705744249797,-0.4661020429537072,5.050125744679816,6.156333190394118e-10
82031250.0,0.8088862201338204,-0.3415641100050811,-1.1296648753104366,1.9952751789042487,0.03309871267060208,6.001250926271836,1.625255929926338,-0.6547412981142399,4.871586050961399,0.9999986814117551,0.0,-1.1453119524445727e-05,1.625253786882974,-0.6547404347800607,4.871574597841875,6.289939115884495e-10
109375000.0,0.7562225105299323,-0.4149819515161781,-1.2837890625000354,1.9952851857635532,0.04413184568059559,6.00222364900959,1.5271934918458407,-0.7946338450845798,4.718434586509556,0.9999976558443221,0.0,-2.0361101377509418e-05,1.5271899118665455,-0.79463198233914,4.7184142254081785,6.003690244837543e-10
136718750.0,0.6925079109910172,-0.4911527213766001,-1.4218630505474905,1.9952980537520455,0.05516517478110801,6.0034740099171335,1.4088542127272283,-0.9417937491106314,4.581610959369641,0.9999963372591681,0.0,-3.181422090199161e-05,1.4088490524593773,-0.9417902995642113,4.581579145148741,5.991576269009385e-10
164062500.0,0.6296936039360379,-0.5509663353646697,-1.5485360861323523,1.9953137843895188,0.06619874897956904,6.005001797265038,1.2929096100064894,-1.0576657948667019,4.4564657111326875,0.9999947256574523,0.0,-4.581247809823441e-05,1.292902790758323,-1.0576602163749989,4.456419898654589,5.857969345681912e-10
191406250.0,0.5575188774718075,-0.6086706247315706,-1.6665700350390869,1.9953323795333786,0.07723261727327584,6.0068067525279805,1.1594446938259788,-1.1714415639113065,4.340236717488893,0.9999928210405911,0.0,-6.235587296759025e-05,1.159436370219585,-1.1714331541798693,4.340174361615925,5.837595073724334e-10
218750000.0,0.48689253613653766,-0.653468046707861,-1.7777644056144029,1.995353841378575,0.08826682864736758,6.008888570537271,1.0292024444238899,-1.2609235171598383,4.231124164922868,0.9999906234102589,0.0,-8.144440550854648e-05,1.029192794014808,-1.260911693997323,4.231042720517361,5.756996861503597e-10
246093750.0,0.40886829301508026,-0.6935114666485365,-1.8833691406249513,1.9953781724575206,0.09930143207280064,6.011246899660717,0.8847135490893648,-1.3432164358739325,4.127877759035767,0.9999881327683876,0.0,-0.00010307807572152579,0.8847030499887671,-1.3432004956133823,4.127774680960044,5.738077065153978e-10
