frequency_hz,tx_symbol_spectrum_real,tx_symbol_spectrum_imag,tx_symbol_spectrum_db_relative_to_dc,channel_sdd21_db,channel_output_symbol_spectrum_real,channel_output_symbol_spectrum_imag,channel_output_symbol_spectrum_db_relative_to_tx_dc
0.0,1.0,0.0,0.0,-0.2000000000000297,0.9772372209558073,0.0,-0.2000000000000297
27343750.0,0.9999982847597054,-0.0015339793599409442,-4.679025995736826e-06,-0.7226660156250214,0.9055479631058537,-0.16336908574241227,-0.7226706946510162
54687500.0,0.9999931390505682,-0.0030679501522273933,-1.8716107185269485e-05,-0.9504251715571612,0.8619925715307328,-0.24579016554322988,-0.9504438876643482
82031250.0,0.9999845629078262,-0.004601903809273281,-4.21112531909641e-05,-1.1296648753104366,0.8073018881037386,-0.34528125382613417,-1.1297069865636298
109375000.0,0.9999725563902093,-0.006135831763629401,-7.486448004453424e-05,-1.2837890625000354,0.7536554976149925,-0.41961061701391167,-1.28386392698008
136718750.0,0.999957119579939,-0.007669725448051826,-0.00011697581018882118,-1.4218630505474905,0.6887112094348763,-0.49644300608949843,-1.421980026357679
164062500.0,0.9999382525827271,-0.009203576295570347,-0.00016844527247855077,-1.5485360861323523,0.624583861278502,-0.5567277477431145,-1.548704531404831
191406250.0,0.9999159555277742,-0.010737375739556874,-0.00022927290218874562,-1.6665700350390869,0.5509364958926207,-0.6146057589994666,-1.6667993079412762
218750000.0,0.9998902285677708,-0.012271115213793891,-0.00029945874099896944,-1.7777644056144029,0.4788203075558192,-0.6593710289921255,-1.7780638643554012
246093750.0,0.9998610718788933,-0.013804786152542822,-0.00037900283700547803,-1.8833691406249513,0.3992377122199322,-0.6990594577531374,-1.8837481434619558
273437500.0,0.9998284856608038,-0.015338379990612489,-0.0004679052447198103,-1.984294315790979,0.3221470137209688,-0.7275962678876596,-1.9847622210356994
300781250.0,0.9997924701366484,-0.016871888163427478,-0.0005661660250673199,-2.081226964769499,0.23970148057084387,-0.7494855375554933,-2.0817931307945656
